구분,한경1호기(kWh),한경2호기(kWh),한경3호기(kWh),한경5호기(kWh),한경6호기(kWh),한경7호기(kWh),한경8호기(kWh),한경9호기(kWh)
2018-07-29,6076,0,5329,0,7016,9612,7856,0
2018-07-30,6734,0,9531,0,21700,9188,16272,11696
2018-07-31,1640,0,9446,0,11348,15280,18400,17608
2018-08-01,4909,0,9645,0,21248,12864,18408,17048
2018-08-02,7760,0,5489,0,16656,15124,14824,13008
2018-08-03,7912,0,19517,0,38108,36060,39760,31928
2018-08-04,2994,0,3767,0,6400,2884,6928,8624
2018-08-05,0,0,6,0,280,0,400,328
2018-08-06,2649,0,2795,0,1376,788,5272,6936
2018-08-07,778,0,483,0,0,108,1432,1656
2018-08-08,2801,0,1830,0,0,832,4344,5240
2018-08-09,1649,0,1400,0,0,4000,4568,5192
2018-08-10,32,0,20,0,0,216,240,192
2018-08-11,1855,0,1013,0,0,2000,1720,1448
2018-08-12,14118,0,11895,0,0,23976,23392,15024
2018-08-13,21493,0,19358,0,23756,41652,42104,36016
2018-08-14,4071,0,7649,0,14468,14020,14136,11000
2018-08-15,4029,0,3481,0,10588,8456,8624,5592
2018-08-16,11263,0,14096,0,33744,39556,39824,37016
2018-08-17,13334,0,8962,0,26692,15064,14840,10344
2018-08-18,1072,0,484,0,4644,2044,1824,816
2018-08-19,4043,0,4295,0,7288,5816,7336,7072
2018-08-20,7015,0,14628,0,25080,19728,25464,25944
2018-08-21,3687,0,4564,0,9992,6364,8504,8464
2018-08-22,11336,0,12407,0,15476,39544,37864,36936
2018-08-23,0,0,183,0,0,0,0,0
2018-08-24,0,0,0,0,0,0,0,0
2018-08-25,3149,0,801,0,0,0,2976,2520
2018-08-26,24765,0,25929,0,0,0,45368,47416
2018-08-27,14861,0,20722,0,0,0,35496,39552
2018-08-28,6205,0,9207,0,0,0,14784,19120
2018-08-29,11756,0,13143,0,1612,0,24328,24464
2018-08-30,8031,0,10117,0,1292,3508,16736,22232
2018-08-31,9186,0,10121,0,2472,17896,18512,21552
2018-09-01,2579,0,3569,0,7736,8252,6488,7456
2018-09-02,979,0,1039,0,5028,3484,3256,2800
2018-09-03,8203,0,10680,0,17148,16152,17112,22312
2018-09-04,8518,0,13090,0,14056,22656,19024,24664
2018-09-05,1468,0,1258,0,3184,2812,2608,3000
2018-09-06,769,0,1105,0,2540,1676,2720,3080
2018-09-07,5277,0,5650,0,10212,11240,10240,12600
2018-09-08,3771,0,5851,0,13272,10716,13488,11208
2018-09-09,5855,0,6538,0,14292,13412,13560,14840
2018-09-10,8917,0,9706,0,20360,18156,16872,13256
2018-09-11,17190,0,17495,0,35236,35640,27488,19048
2018-09-12,6345,0,6679,0,15096,14260,10080,7952
2018-09-13,3902,0,3847,0,10632,8940,7752,4856
2018-09-14,5319,0,6822,0,9988,8772,9400,14152
2018-09-15,511,0,340,0,1564,1932,1256,1776
2018-09-16,0,0,0,0,0,0,0,0
2018-09-17,524,0,415,0,1540,1640,2408,2224
2018-09-18,843,0,484,0,2384,1840,2152,3416
2018-09-19,2152,0,2737,0,6396,3828,6048,7128
2018-09-20,6695,0,7382,0,11628,11096,11792,13152
2018-09-21,11623,0,12309,0,18200,19716,17272,20992
2018-09-22,2660,0,2519,0,4400,5364,4528,5680
2018-09-23,2516,0,1851,0,3780,3952,3528,4560
2018-09-24,5999,0,11316,0,24060,18332,22824,21904
2018-09-25,15763,0,17540,0,35360,27344,31872,30288
2018-09-26,17254,0,21188,0,44860,42092,37912,32040
2018-09-27,13095,0,18407,0,36456,30672,29664,23256
2018-09-28,6963,0,10450,0,24568,19452,12312,14224
2018-09-29,21767,0,26378,0,57148,54136,48356,44684
2018-09-30,11099,0,23591,0,53166,52538,52378,53676
2018-10-01,25774,0,26604,0,47496,46592,39680,47000
2018-10-02,8976,0,9291,0,15320,18368,18232,18784
2018-10-03,7121,0,7445,0,15104,13164,14576,14680
2018-10-04,16376,0,17093,0,37542,34786,27722,24690
2018-10-05,11658,0,12562,0,12072,26616,22056,23800
2018-10-06,10973,0,10799,0,19064,20360,18264,20464
2018-10-07,19587,0,14768,0,29424,32984,27984,36696
2018-10-08,15329,0,15847,0,30416,26232,31792,17928
2018-10-09,663,0,1136,0,3176,2992,3152,1096
2018-10-10,22347,0,18581,0,21247,40027,36331,43011
2018-10-11,17814,0,14502,0,0,29640,27152,33632
2018-10-12,16015,20,14916,0,1004,24784,27096,27664
2018-10-13,881,172,1848,0,4556,3648,4768,3352
2018-10-14,4,0,3525,0,7796,6440,8456,7024
2018-10-15,519,6594,4310,0,14368,12416,15120,9896
2018-10-16,3711,4431,7644,0,16148,13832,15968,14976
2018-10-17,3805,11037,8131,0,16052,13000,14328,19072
2018-10-18,22443,25281,19950,0,33344,28944,33864,40872
2018-10-19,4713,5515,3907,0,9992,8456,9296,11048
2018-10-20,3053,1750,2542,0,804,6464,6368,3496
2018-10-21,2999,2629,2629,0,232,5616,6064,3544
2018-10-22,207,19,72,0,0,624,320,32
2018-10-23,3418,553,2821,0,1408,6520,152,7040
2018-10-24,10487,11827,8629,0,17000,14720,0,19160
2018-10-25,1210,1255,1922,0,5212,4720,0,3064
2018-10-26,16780,16882,18155,0,32711,33263,20015,34791
2018-10-27,18557,33707,32899,0,35523,59067,55891,58907
2018-10-28,0,23702,20083,0,39332,32312,33592,39016
2018-10-29,0,5636,6082,0,10572,10536,8672,10744
2018-10-30,0,5097,3115,0,7496,5912,7704,8952
2018-10-31,0,15025,11263,0,21268,16992,20688,24872
2018-11-01,0,18308,14757,0,27124,24336,25416,30088
2018-11-02,0,3425,4504,0,9636,8824,8064,3592
2018-11-03,0,2665,2813,0,8328,6896,2512,2504
2018-11-04,0,1708,1798,0,5008,4576,4288,3208
2018-11-05,0,1847,1622,0,4712,4232,5056,3408
2018-11-06,0,2690,2997,0,8028,6584,7072,4200
